メーカー,型番,ピン数
JST,XAP-02V-1,2
JST,XAP-03V-1,3
JST,XAP-04V-1,4
JST,XAP-05V-1,5
JST,XAP-06V-1,6
JST,XAP-07V-1,7
JST,XAP-08V-1,8
JST,XAP-09V-1,9
JST,XAP-10V-1,10
JST,XAP-11V-1,11
JST,XAP-12V-1,12
JST,XAP-13V-1,13
JST,XAP-14V-1,14
JST,XAP-15V-1,15
JST,XAP-20V-1,20
JST,B02B-XASK-1(LF)(SN),2
JST,B03B-XASK-1(LF)(SN),3
JST,B04B-XASK-1(LF)(SN),4
JST,B05B-XASK-1(LF)(SN),5
JST,B06B-XASK-1(LF)(SN),6
JST,B07B-XASK-1(LF)(SN),7
JST,B08B-XASK-1(LF)(SN),8
JST,B09B-XASK-1(LF)(SN),9
JST,B10B-XASK-1(LF)(SN),10
JST,B11B-XASK-1(LF)(SN),11
JST,B12B-XASK-1(LF)(SN),12
JST,B13B-XASK-1(LF)(SN),13
JST,B14B-XASK-1(LF)(SN),14
JST,B15B-XASK-1(LF)(SN),15
JST,B20B-XASK-1(LF)(SN),20
JST,B02B-XASK-1-A(LF)(SN),2
JST,B03B-XASK-1-A(LF)(SN),3
JST,B04B-XASK-1-A(LF)(SN),4
JST,B05B-XASK-1-A(LF)(SN),5
JST,B06B-XASK-1-A(LF)(SN),6
JST,B07B-XASK-1-A(LF)(SN),7
JST,B08B-XASK-1-A(LF)(SN),8
JST,B09B-XASK-1-A(LF)(SN),9
JST,B10B-XASK-1-A(LF)(SN),10
JST,B11B-XASK-1-A(LF)(SN),11
JST,B12B-XASK-1-A(LF)(SN),12
JST,B13B-XASK-1-A(LF)(SN),13
JST,B14B-XASK-1-A(LF)(SN),14
JST,B15B-XASK-1-A(LF)(SN),15
JST,S02B-XASS-1(LF)(SN),2
JST,S03B-XASK-1(LF)(SN),3
JST,S04B-XASK-1(LF)(SN),4
JST,S05B-XASK-1(LF)(SN),5
JST,S06B-XASK-1(LF)(SN),6
JST,S07B-XASK-1(LF)(SN),7
JST,S08B-XASK-1(LF)(SN),8
JST,S09B-XASK-1(LF)(SN),9
JST,S10B-XASK-1(LF)(SN),10
JST,S11B-XASK-1(LF)(SN),11
JST,S12B-XASK-1(LF)(SN),12
JST,S13B-XASK-1(LF)(SN),13
JST,S14B-XASK-1(LF)(SN),14
JST,S15B-XASK-1(LF)(SN),15
JST,XARR-02V,2
JST,XARR-03V,3
JST,XARR-04V,4
JST,XARR-05V,5
JST,XARR-06V,6
JST,XARR-07V,7
JST,XARR-08V,8
JST,XARR-09V,9
JST,XARR-10V,10
JST,XARR-11V,11
JST,XARR-12V,12
JST,XARR-13V,13
JST,XARR-14V,14
JST,XARR-15V,15
JST,SXA-001T-P0.6,-
